JD V-C s1 V-C1 s2 V-C2 s3 C-C1 s4 C-C2 s5 C1-C2 s6
Aperture: 2.00, Filter: 12.00
2453236.38684 -1.774 0.013 -0.327 0.006 -0.311 0.006 1.447 0.013 1.463 0.013 0.016 0.007
2453236.38721 -1.831 0.013 -0.352 0.006 -0.351 0.006 1.479 0.013 1.480 0.013 0.001 0.007
2453236.38759 -1.870 0.014 -0.381 0.006 -0.337 0.006 1.489 0.014 1.533 0.014 0.044 0.007
2453236.38796 -1.906 0.014 -0.430 0.006 -0.396 0.006 1.476 0.014 1.510 0.014 0.034 0.007
2453236.38833 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999
2453236.38870 -1.916 0.014 -0.445 0.006 -0.421 0.006 1.471 0.014 1.495 0.014 0.024 0.007


2453236.38946 -1.860 0.014 -0.378 0.006 -0.359 0.006 1.482 0.014 1.501 0.014 0.019 0.007
2453236.42672 -1.900 0.013 -0.438 0.006 -0.442 0.006 1.462 0.013 1.458 0.013 -0.004 0.007
2453236.42709 -1.934 0.013 -0.469 0.006 -0.474 0.006 1.465 0.013 1.460 0.013 -0.005 0.007
2453236.42747 -1.981 0.013 -0.528 0.006 -0.498 0.006 1.453 0.013 1.483 0.013 0.030 0.007
2453236.42784 -1.978 0.014 -0.513 0.006 99.999 9.999 1.465 0.014 99.999 9.999 99.999 9.999
2453236.42822 -1.982 0.014 -0.532 0.006 -0.483 0.006 1.450 0.014 1.499 0.014 0.049 0.007


2453236.42896 -1.992 0.014 -0.515 0.006 -0.498 0.006 1.477 0.014 1.494 0.014 0.017 0.007
2453236.42933 -2.006 0.014 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999
2453236.42971 -1.912 0.013 -0.459 0.006 -0.466 0.006 1.453 0.013 1.446 0.013 -0.007 0.007
2453236.43008 -1.907 0.013 -0.457 0.006 -0.460 0.006 1.450 0.013 1.447 0.013 -0.003 0.007
2453236.43045 -1.925 0.013 -0.442 0.006 -0.432 0.006 1.483 0.013 1.493 0.013 0.010 0.007
2453236.43083 -1.923 0.013 -0.480 0.006 -0.450 0.006 1.443 0.013 1.473 0.013 0.030 0.007
2453236.43120 99.999 9.999 99.999 9.999 -0.474 0.006 99.999 9.999 99.999 9.999 99.999 9.999
2453236.43157 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999
2453236.43194 -1.962 0.013 -0.489 0.006 -0.488 0.006 1.473 0.013 1.474 0.013 0.001 0.007


2453236.43270 -1.915 0.013 -0.467 0.006 -0.437 0.006 1.448 0.013 1.478 0.013 0.030 0.007
2453236.43307 -1.884 0.013 -0.459 0.006 -0.424 0.006 1.425 0.013 1.460 0.013 0.035 0.007
2453236.43344 -2.019 0.014 -0.550 0.006 -0.512 0.006 1.469 0.014 1.507 0.014 0.038 0.007
2453236.43382 -2.002 0.014 -0.539 0.006 -0.469 0.006 1.463 0.014 1.533 0.014 0.070 0.007
2453236.43419 -1.946 0.013 -0.492 0.006 -0.447 0.006 1.454 0.013 1.499 0.013 0.045 0.007
2453236.43456 -1.990 0.014 -0.512 0.006 -0.494 0.006 1.478 0.014 1.496 0.014 0.018 0.007
2453236.43494 -1.946 0.013 99.999 9.999 -0.443 0.006 99.999 9.999 1.503 0.013 99.999 9.999
2453236.43531 -1.961 0.013 -0.512 0.006 -0.471 0.006 1.449 0.013 1.490 0.013 0.041 0.007
2453236.43568 -2.003 0.014 -0.530 0.006 -0.485 0.006 1.473 0.014 1.518 0.014 0.045 0.007
2453236.43605 -1.904 0.013 -0.442 0.006 -0.448 0.006 1.462 0.013 1.456 0.013 -0.006 0.007
2453236.43644 -2.004 0.014 -0.535 0.006 -0.480 0.006 1.469 0.014 1.524 0.014 0.055 0.007
2453236.43681 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999
2453236.43718 -1.989 0.014 -0.530 0.006 -0.471 0.006 1.459 0.014 1.518 0.014 0.059 0.007
2453236.43755 -1.964 0.013 -0.482 0.006 -0.478 0.006 1.482 0.013 1.486 0.013 0.004 0.007
2453236.43793 -1.920 0.013 -0.440 0.006 -0.433 0.006 1.480 0.013 1.487 0.013 0.007 0.007
2453236.43830 -1.933 0.013 -0.442 0.006 -0.454 0.006 1.491 0.013 1.479 0.013 -0.012 0.007
