JD V-C s1 V-C1 s2 V-C2 s3 C-C1 s4 C-C2 s5 C1-C2 s6
Aperture: 2.00, Filter: V
2453255.38123 -0.240 0.006 -0.069 0.006 0.138 0.006 0.171 0.007 0.378 0.006 0.207 0.006
2453255.38163 -0.264 0.006 -0.067 0.006 0.092 0.006 0.197 0.007 0.356 0.006 0.159 0.006
2453255.38201 -0.244 0.006 -0.023 0.006 0.163 0.006 0.221 0.007 0.407 0.006 0.186 0.006
2453255.38238 -0.215 0.006 0.013 0.006 0.186 0.006 0.228 0.006 0.401 0.006 0.173 0.006
2453255.38279 -0.277 0.006 -0.014 0.006 0.144 0.006 0.263 0.006 0.421 0.006 0.158 0.006
2453255.38317 -0.247 0.006 -0.035 0.006 0.157 0.006 0.212 0.007 0.404 0.006 0.192 0.006
2453255.38355 -0.232 0.006 -0.064 0.006 0.126 0.006 0.168 0.007 0.358 0.006 0.190 0.006
2453255.38395 -0.245 0.006 -0.009 0.006 0.168 0.006 0.236 0.007 0.413 0.006 0.177 0.006
2453255.38436 -0.266 0.006 -0.025 0.006 0.117 0.006 0.241 0.006 0.383 0.006 0.142 0.006
2453255.38476 -0.246 0.006 -0.035 0.006 0.157 0.006 0.211 0.007 0.403 0.006 0.192 0.006
2453255.38515 -0.245 0.006 -0.095 0.006 0.090 0.006 0.150 0.007 0.335 0.006 0.185 0.006
2453255.38556 -0.246 0.006 -0.003 0.006 0.149 0.006 0.243 0.007 0.395 0.006 0.152 0.006
2453255.38597 -0.258 0.006 -0.018 0.006 0.164 0.006 0.240 0.007 0.422 0.006 0.182 0.006
2453255.38638 -0.273 0.006 -0.070 0.006 0.094 0.006 0.203 0.007 0.367 0.006 0.164 0.006
2453255.38676 -0.248 0.006 -0.020 0.006 0.160 0.006 0.228 0.007 0.408 0.006 0.180 0.006
2453255.38716 -0.234 0.006 -0.056 0.006 0.124 0.006 0.178 0.007 0.358 0.006 0.180 0.006
2453255.38756 -0.209 0.006 -0.013 0.006 0.163 0.006 0.196 0.007 0.372 0.006 0.176 0.006
2453255.38797 -0.254 0.006 -0.022 0.006 0.139 0.006 0.232 0.007 0.393 0.006 0.161 0.006
2453255.38839 -0.254 0.006 -0.014 0.006 0.148 0.006 0.240 0.007 0.402 0.006 0.162 0.006
2453255.38880 -0.284 0.006 -0.023 0.006 0.147 0.006 0.261 0.007 0.431 0.006 0.170 0.006
2453255.38920 -0.274 0.006 -0.041 0.006 0.113 0.006 0.233 0.006 0.387 0.006 0.154 0.006
2453255.38964 -0.271 0.006 -0.038 0.006 0.137 0.006 0.233 0.007 0.408 0.006 0.175 0.006
2453255.39002 -0.244 0.006 -0.085 0.006 0.117 0.006 0.159 0.007 0.361 0.006 0.202 0.006
2453255.39039 -0.277 0.006 99.999 9.999 0.083 0.006 99.999 9.999 0.360 0.006 99.999 9.999
2453255.39081 -0.235 0.006 -0.057 0.006 0.132 0.006 0.178 0.007 0.367 0.006 0.189 0.006
2453255.39122 -0.262 0.006 -0.021 0.006 0.148 0.006 0.241 0.007 0.410 0.006 0.169 0.006
2453255.39163 -0.223 0.006 -0.038 0.006 0.156 0.006 0.185 0.007 0.379 0.006 0.194 0.006
2453255.39201 -0.243 0.006 -0.090 0.006 0.139 0.006 0.153 0.007 0.382 0.006 0.229 0.006
2453255.39243 -0.230 0.007 0.002 0.007 0.205 0.006 0.232 0.007 0.435 0.006 0.203 0.006
